n_clusters,epsilon,umap_n_components,NMI,embedding
4,0.6096288899851271,16,0.0,tfidf
4,0.27221417943541876,2,0.0,tfidf
4,0.2317930382940099,4,0.0,tfidf
4,0.1555402208604077,4,0.0,tfidf
4,0.5198318286080023,4,0.0,tfidf
4,0.5520067148199272,4,0.0,tfidf
4,0.1294603427122745,16,0.0,tfidf
4,0.17490556250254363,8,0.0,tfidf
4,0.0634515659923885,16,0.0,tfidf
4,0.2781536840432651,2,0.0,tfidf
4,0.41260801004912084,4,0.0,tfidf
4,0.37567339853736814,16,0.0,tfidf
4,0.9580851551371764,4,0.0,tfidf
4,0.8922034849923726,4,0.0,tfidf
4,0.038692768448921756,4,0.0,tfidf
4,0.015479001144379752,4,0.0,tfidf
4,0.8624619743346581,8,0.0,tfidf
4,0.8308966600843413,16,0.0,tfidf
4,0.9305106971679773,2,0.0,tfidf
4,0.8804256422467491,4,0.0,tfidf
4,0.483213274720672,16,0.0,tfidf
4,0.4619059039260189,16,0.0,tfidf
4,0.7651836221721515,4,0.0,tfidf
4,0.8126479248307026,4,0.0,tfidf
4,0.30625211873759384,4,0.0,tfidf
4,0.7868578167941738,4,0.0,tfidf
4,0.5120838380426568,8,0.0,tfidf
4,0.08317330508415702,2,0.0,tfidf
4,0.7292799391590623,16,0.0,tfidf
4,0.19635931632930015,4,0.0,tfidf
4,0.25393040060654626,8,0.0,tfidf
4,0.3386152881615584,2,0.0,tfidf
4,0.22010976508895144,4,0.0,tfidf
4,0.9867134469949449,4,0.0,tfidf
4,0.8329907549512854,4,0.0,tfidf
4,0.8555767836238003,16,0.0,tfidf
4,0.6878040847637148,4,0.0,tfidf
4,0.3791598070338883,16,0.0,tfidf
4,0.7129723560477766,4,0.0,tfidf
4,0.5416196366074997,8,0.0,tfidf
4,0.44753769927013964,2,0.0,tfidf
4,0.591573865231044,16,0.0,tfidf
4,0.2989228273942919,16,0.0,tfidf
4,0.2512960248323273,16,0.0,tfidf
4,0.41833322220854685,16,0.0,tfidf
4,0.21672774707621895,16,0.0,tfidf
4,0.9306660623478652,4,0.0,tfidf
4,0.1129674689770205,16,0.0,tfidf
4,0.47697804785968045,8,0.0,tfidf
4,0.8738273602701646,16,0.0,tfidf
4,0.49889928583825766,2,0.0,tfidf
4,0.1748296053134546,4,0.0,tfidf
4,0.6734973627428669,4,0.0,tfidf
4,0.7423031846335428,4,0.0,tfidf
4,0.6206523194304895,4,0.0,tfidf
4,0.010312998965161128,4,0.0,tfidf
4,0.054546609161292836,16,0.0,tfidf
4,0.2730025962478632,4,0.0,tfidf
4,0.1508964261002287,8,0.0,tfidf
4,0.4501104714472854,2,0.0,tfidf
4,0.3198358873387456,16,0.0,tfidf
4,0.5608592870106895,4,0.0,tfidf
4,0.8979131180546926,2,0.0,tfidf
4,0.8002590323604759,2,0.0,tfidf
4,0.966426117672818,2,0.0,tfidf
4,0.8462637136546275,2,0.0,tfidf
4,0.19768362922997756,16,0.0,tfidf
4,0.2322551118957354,4,0.0,tfidf
4,0.6556615766452947,2,0.0,tfidf
4,0.7066094534452678,8,0.0,tfidf
4,0.35369215420645006,16,0.0,tfidf
4,0.8689922126466341,4,0.0,tfidf
4,0.8170865053991911,8,0.0,tfidf
4,0.5296282282435645,8,0.0,tfidf
4,0.7809418454434667,8,0.0,tfidf
4,0.80202374492799,8,0.0,tfidf
4,0.7481383426875211,16,0.0,tfidf
4,0.7589160031263479,4,0.0,tfidf
4,0.03699336883996291,8,0.0,tfidf
4,0.2947920753695969,2,0.0,tfidf
4,0.07510102342188973,16,0.0,tfidf
4,0.10303628423716618,4,0.0,tfidf
4,0.6277352882989571,16,0.0,tfidf
4,0.6445917470032793,16,0.0,tfidf
4,0.5805424165589048,16,0.0,tfidf
4,0.6042105602030166,16,0.0,tfidf
4,0.38744087897679147,16,0.0,tfidf
4,0.7206659559974983,4,0.0,tfidf
4,0.6848602771315414,16,0.0,tfidf
4,0.404836281814693,8,0.0,tfidf
4,0.8447750612199659,2,0.0,tfidf
4,0.4285366011905591,4,0.0,tfidf
4,0.5735795622160718,4,0.0,tfidf
4,0.507268971499858,4,0.0,tfidf
4,0.5540504445853438,4,0.0,tfidf
4,0.24845379840661547,4,0.0,tfidf
4,0.13414138613672344,16,0.0,tfidf
4,0.9203457254415233,4,0.0,tfidf
4,0.6665349430573361,2,0.0,tfidf
4,0.951480969502574,16,0.0,tfidf
4,0.886450954472163,8,0.0,tfidf
4,0.6650586287364427,8,0.0,fasttext
4,0.5049266933598519,4,0.0,fasttext
4,0.34444319352934744,16,0.0,fasttext
4,0.5582662993649925,16,0.0,fasttext
4,0.8543704539916653,2,0.0,fasttext
4,0.9053542166139066,4,0.0,fasttext
4,0.3896293578009063,8,0.0,fasttext
4,0.4240001362483661,16,0.0,fasttext
4,0.8276607963547116,8,0.0,fasttext
4,0.19259742865977275,8,0.0,fasttext
4,0.6717925915805568,2,0.0,fasttext
4,0.6060606594551179,4,0.0,fasttext
4,0.6868882144738111,4,0.0,fasttext
4,0.029566289671097035,4,0.0,fasttext
4,0.9916612564781363,8,0.0,fasttext
4,0.49890533458872705,4,0.0,fasttext
4,0.7400999010765893,8,0.0,fasttext
4,0.5288089152287194,2,0.0,fasttext
4,0.7645628702521452,4,0.0,fasttext
4,0.6508328808249568,8,0.0,fasttext
4,0.48847765690724054,4,0.0,fasttext
4,0.3126479921473104,16,0.0,fasttext
4,0.58637671796412,16,0.0,fasttext
4,0.32285241175633195,16,0.0,fasttext
4,0.44213413803918855,16,0.0,fasttext
4,0.5945176033244213,16,0.0,fasttext
4,0.339152922466629,8,0.0,fasttext
4,0.5055898593156941,2,0.0,fasttext
4,0.2351411273005365,4,0.0,fasttext
4,0.5646308540449697,16,0.0,fasttext
4,0.4455304279937965,8,0.0,fasttext
4,0.5438959675148813,16,0.0,fasttext
4,0.6365847545963755,16,0.0,fasttext
4,0.39359786954945336,16,0.0,fasttext
4,0.7226537668132382,16,0.0,fasttext
4,0.5590062680623524,2,0.0,fasttext
4,0.4680358083981595,8,0.0,fasttext
4,0.8125562050166865,16,0.0,fasttext
4,0.630720366540454,4,0.0,fasttext
